,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Roberto Luongo,FLA,62,3601.85,1801,1660,141,0.922,2.35,12.32,147.24,468,395,73,0.844,1.22,10.35,468,426,42,0.91,0.7,-1.63,809,783,26,0.968,0.43,1.22,87,169,36.05,23.50
1,Craig Anderson,OTT,60,3477.3666666667,1915,1754,161,0.916,2.78,2.03,154.52,490,403,87,0.822,1.5,0.27,490,436,54,0.89,0.93,-11.73,880,860,20,0.977,0.35,9.61,84,191,35.33,20.35
2,Ryan Miller,VAN,51,3043.4833333333,1633,1496,137,0.916,2.7,2.02,136.98,454,377,77,0.830,1.52,3.86,511,472,39,0.924,0.77,5.08,625,604,21,0.966,0.41,0.03,72,135,33.1,21.93
3,Michael Leighton,CHI,1,39.483333333333,17,16,1,0.941,1.52,0.45,1.79,7,7,0,1.000,0.0,1.25,4,4,0,1.0,0.0,0.35,5,4,1,0.800,1.52,-0.83,1,3,29.82,30.00
4,Henrik Lundqvist,NYR,65,3772.3666666667,1944,1788,156,0.92,2.48,9.5,179.18,567,466,101,0.822,1.61,-0.02,482,446,36,0.925,0.57,5.58,847,829,18,0.979,0.29,10.5,89,200,32.71,19.99
5,Peter Budaj,L.A,1,62.3,28,24,4,0.857,3.85,-1.62,2.31,11,9,2,0.818,1.93,-0.04,5,4,1,0.8,0.96,-0.57,10,10,0,1.000,0.0,0.34,0,2,30.11,31.75
6,Mike Smith,ARI,32,1753.5,921,844,77,0.916,2.63,1.41,75.33,220,176,44,0.800,1.51,-4.82,249,231,18,0.928,0.62,3.48,429,416,13,0.970,0.44,1.44,36,78,34.28,22.99
7,Kari Lehtonen,DAL,43,2279.1833333333,1121,1016,105,0.906,2.76,-9.57,101.57,323,260,63,0.805,1.66,-5.47,288,266,22,0.924,0.58,2.85,461,441,20,0.957,0.53,-4.49,47,129,34.98,23.78
8,Curtis McElhinney,CBJ,18,835.43333333333,417,371,46,0.89,3.3,-10.5,40.63,129,100,29,0.775,2.08,-6.02,100,88,12,0.88,0.86,-3.37,177,173,4,0.977,0.29,1.96,26,49,34.01,21.46
9,Cam Ward,CAR,52,3038.0666666667,1343,1221,122,0.909,2.41,-7.67,120.99,357,287,70,0.804,1.38,-6.42,337,312,25,0.926,0.49,4.07,609,582,27,0.956,0.53,-6.51,58,144,35.0,21.96
10,Marc-Andre Fleury,PIT,58,3463.7833333333,1665,1533,132,0.921,2.29,9.74,135.51,445,374,71,0.840,1.23,8.26,446,406,40,0.91,0.69,-1.52,719,698,21,0.971,0.36,3.2,81,154,34.94,23.52
11,Corey Crawford,CHI,58,3322.65,1719,1588,131,0.924,2.37,15.34,148.83,487,414,73,0.850,1.32,13.74,401,367,34,0.915,0.61,0.59,791,767,24,0.970,0.43,2.62,76,180,33.12,21.66
12,Jimmy Howard,DET,37,1973.8833333333,979,887,92,0.906,2.8,-8.66,85.15,294,239,55,0.813,1.67,-2.64,245,223,22,0.91,0.67,-0.86,407,392,15,0.963,0.46,-1.3,44,102,33.92,20.36
13,Jaroslav Halak,NYI,36,2091.1833333333,984,904,80,0.919,2.3,3.77,88.05,308,261,47,0.847,1.35,7.86,265,242,23,0.913,0.66,-0.14,384,375,9,0.977,0.26,3.92,54,96,31.85,22.03
14,Brian Elliott,STL,42,2263.0,1114,1036,78,0.93,2.07,16.84,101.99,327,285,42,0.872,1.11,16.24,309,291,18,0.942,0.48,8.66,451,433,18,0.960,0.48,-2.82,66,107,31.97,21.99
15,Yann Danis,N.J,2,50.5,18,14,4,0.778,4.75,-2.47,2.99,8,6,2,0.750,2.38,-0.58,4,3,1,0.75,1.19,-0.65,6,5,1,0.833,1.19,-0.8,1,5,24.61,23.00
16,Al Montoya,FLA,25,1351.2333333333,608,559,49,0.919,2.18,2.76,52.32,150,121,29,0.807,1.29,-2.28,163,148,15,0.908,0.67,-0.94,271,266,5,0.982,0.22,4.12,36,61,36.42,20.69
17,Devan Dubnyk,MIN,67,3841.4,1829,1679,150,0.918,2.34,5.71,145.49,475,394,81,0.829,1.27,3.6,431,397,34,0.921,0.53,3.18,857,823,34,0.960,0.53,-5.16,88,189,36.33,23.91
18,Cory Schneider,N.J,58,3412.4333333333,1597,1475,122,0.924,2.15,13.96,137.23,436,376,60,0.862,1.05,17.65,396,360,36,0.909,0.63,-1.84,715,690,25,0.965,0.44,-0.94,72,138,34.9,24.25
19,Thomas Greiss,NYI,41,2287.4666666667,1197,1107,90,0.925,2.36,11.9,104.52,369,319,50,0.864,1.31,15.72,337,318,19,0.944,0.5,10.07,443,425,18,0.959,0.47,-3.09,60,100,33.73,27.28
20,Karri Ramo,CGY,37,2144.6333333333,1034,940,94,0.909,2.63,-5.97,89.0,283,222,61,0.784,1.71,-10.6,257,236,21,0.918,0.59,1.17,450,438,12,0.973,0.34,3.14,59,103,34.89,17.97
21,Anton Khudobin,ANA,9,356.33333333333,175,159,16,0.909,2.69,-1.1,18.13,62,54,8,0.871,1.35,3.04,45,38,7,0.844,1.18,-3.12,63,62,1,0.984,0.17,1.12,20,21,32.46,31.25
22,Pekka Rinne,NSH,66,3895.3666666667,1745,1584,161,0.908,2.48,-12.44,133.03,386,293,93,0.759,1.43,-24.25,447,410,37,0.917,0.57,1.56,832,802,30,0.964,0.46,-2.0,79,139,36.75,21.85
23,Carey Price,MTL,12,698.33333333333,365,341,24,0.934,2.06,7.07,30.74,79,69,10,0.873,0.86,4.07,101,94,7,0.931,0.6,1.71,158,152,6,0.962,0.52,-0.68,22,41,39.96,37.63
24,Tuukka Rask,BOS,64,3679.4,1855,1698,157,0.915,2.56,0.92,151.5,459,366,93,0.797,1.52,-11.25,485,448,37,0.924,0.6,4.84,836,810,26,0.969,0.42,2.13,103,165,36.77,21.22
25,Ondrej Pavelec,WPG,33,1899.0166666667,918,830,88,0.904,2.78,-9.85,86.53,280,224,56,0.800,1.77,-6.13,226,207,19,0.916,0.6,0.5,386,373,13,0.966,0.41,-0.01,54,99,34.19,19.45
26,Jonathan Quick,L.A,68,4034.4833333333,1820,1671,149,0.918,2.22,5.94,165.53,469,396,73,0.844,1.09,10.53,501,459,42,0.916,0.62,1.22,788,754,34,0.957,0.51,-7.48,85,213,34.85,25.67
27,Ben Bishop,T.B,61,3584.6333333333,1673,1550,123,0.926,2.06,19.43,131.28,417,346,71,0.830,1.19,3.27,441,411,30,0.932,0.5,8.04,759,738,21,0.972,0.35,4.54,85,148,37.54,25.33
28,Alex Stalock,S.J,13,674.13333333333,285,252,33,0.884,2.94,-8.74,24.41,74,57,17,0.770,1.51,-3.82,82,72,10,0.878,0.89,-2.93,118,113,5,0.958,0.45,-1.03,11,26,35.19,21.79
29,Niklas Backstrom,CGY,4,232.71666666667,109,96,13,0.881,3.35,-3.72,10.12,36,27,9,0.750,2.32,-2.59,25,22,3,0.88,0.77,-0.84,48,47,1,0.979,0.26,0.62,10,11,30.32,14.23
30,Chad Johnson,BUF,45,2594.8,1271,1169,102,0.92,2.36,6.2,108.57,320,261,59,0.816,1.36,-2.01,311,283,28,0.91,0.65,-1.17,610,595,15,0.975,0.35,5.53,60,107,35.81,19.96
31,Steve Mason,PHI,54,3150.4333333333,1602,1470,132,0.918,2.51,4.38,136.28,420,340,80,0.810,1.52,-5.2,416,387,29,0.93,0.55,6.89,697,674,23,0.967,0.44,0.46,82,204,35.66,20.96
32,Reto Berra,COL,14,720.71666666667,374,345,29,0.922,2.41,2.84,31.55,84,76,8,0.905,0.67,6.96,101,88,13,0.871,1.08,-4.29,167,159,8,0.952,0.67,-2.38,24,50,35.63,25.90
33,James Reimer,"S.J, TOR",40,2290.45,1127,1039,88,0.922,2.31,7.94,87.03,241,202,39,0.838,1.02,3.92,322,293,29,0.91,0.76,-1.22,534,514,20,0.963,0.52,-2.03,60,75,36.89,25.49
34,Jhonas Enroth,L.A,16,856.3,399,368,31,0.922,2.17,2.97,33.63,111,92,19,0.829,1.33,0.77,95,88,7,0.926,0.49,1.2,179,174,5,0.972,0.35,1.02,18,39,36.36,22.32
35,Jonathan Bernier,TOR,38,2146.7666666667,1114,1011,103,0.908,2.88,-8.16,91.59,253,209,44,0.826,1.23,1.06,310,277,33,0.894,0.92,-6.26,516,491,25,0.952,0.7,-7.64,55,92,36.25,25.27
36,Jeff Zatkoff,PIT,14,732.05,408,374,34,0.917,2.79,0.73,28.93,90,63,27,0.700,2.21,-10.97,87,85,2,0.977,0.16,5.51,218,213,5,0.977,0.41,2.34,23,31,37.1,19.29
37,Semyon Varlamov,COL,57,3159.4166666667,1714,1566,148,0.914,2.81,-2.08,144.19,472,391,81,0.828,1.54,3.06,444,409,35,0.921,0.66,3.3,740,710,30,0.959,0.57,-5.1,67,208,36.06,28.71
38,Michal Neuvirth,PHI,32,1825.5166666667,908,839,69,0.924,2.27,8.3,79.5,220,181,39,0.823,1.28,0.18,225,207,18,0.92,0.59,1.41,431,419,12,0.972,0.39,2.5,37,123,35.6,19.16
39,Richard Bachman,VAN,1,59.866666666667,31,28,3,0.903,3.01,-0.36,2.31,9,8,1,0.889,1.0,0.6,6,5,1,0.833,1.0,-0.48,12,12,0,1.000,0.0,0.4,1,1,42.65,72.00
40,Jonas Hiller,CGY,26,1350.8666666667,654,575,79,0.879,3.51,-23.32,60.7,207,167,40,0.807,1.78,-3.13,166,140,26,0.843,1.15,-11.68,253,240,13,0.949,0.58,-4.49,37,77,33.59,27.00
41,Scott Darling,CHI,29,1560.0166666667,784,717,67,0.915,2.58,-0.26,65.48,214,178,36,0.832,1.38,2.11,206,188,18,0.913,0.69,-0.23,342,330,12,0.965,0.46,-0.49,46,81,34.11,23.24
42,Antti Niemi,DAL,48,2654.3833333333,1246,1128,118,0.905,2.67,-11.93,114.48,362,290,72,0.801,1.63,-7.53,305,279,26,0.915,0.59,0.31,532,512,20,0.962,0.45,-2.1,68,132,34.98,21.42
43,Jacob Markstrom,VAN,32,1847.4333333333,988,904,84,0.915,2.73,0.11,88.27,270,232,38,0.859,1.23,10.09,306,274,32,0.895,1.04,-5.6,382,368,14,0.963,0.45,-1.14,38,115,34.64,24.36
44,Jake Allen,STL,47,2583.3666666667,1260,1159,101,0.92,2.35,6.27,104.06,333,270,63,0.811,1.46,-3.69,345,325,20,0.942,0.46,9.76,551,533,18,0.967,0.42,0.54,62,123,33.23,21.94
45,Michael Hutchinson,WPG,30,1585.95,805,730,75,0.907,2.84,-6.47,68.53,217,171,46,0.788,1.74,-7.35,222,204,18,0.919,0.68,1.15,338,327,11,0.967,0.42,0.37,37,76,34.59,19.17
46,Braden Holtby,WSH,66,3842.4,1803,1662,141,0.922,2.2,12.49,154.82,496,410,86,0.827,1.34,2.34,444,408,36,0.919,0.56,2.3,792,773,19,0.976,0.3,7.65,86,192,36.0,24.09
47,Dustin Tokarski,MTL,6,226.16666666667,98,86,12,0.878,3.18,-3.66,7.96,22,15,7,0.682,1.86,-3.08,27,24,3,0.889,0.8,-0.67,44,42,2,0.955,0.53,-0.52,4,10,36.23,19.33
48,Anders Lindback,ARI,19,906.13333333333,443,396,47,0.894,3.11,-9.29,36.8,124,99,25,0.798,1.66,-2.92,91,83,8,0.912,0.53,-0.15,210,196,14,0.933,0.93,-6.93,20,39,35.58,25.34
49,Martin Jones,S.J,65,3780.8666666667,1734,1591,143,0.918,2.27,4.62,150.1,478,403,75,0.843,1.19,10.13,454,410,44,0.903,0.7,-4.83,743,719,24,0.968,0.38,1.0,89,174,34.4,23.28
