,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Roberto Luongo,FLA,40,2327.1666666667,1218,1114,104,0.915,2.68,1.38,93.86,301,246,55,0.817,1.42,-1.39,297,275,22,0.926,0.57,5.46,580,553,27,0.953,0.7,-6.7,59,125,35.69,22.44
1,Craig Anderson,OTT,40,2421.2333333333,1247,1155,92,0.926,2.28,15.89,102.28,295,247,48,0.837,1.19,4.54,293,271,22,0.925,0.55,5.09,621,599,22,0.965,0.55,-0.27,59,136,36.47,22.74
2,Ryan Miller,VAN,54,3211.85,1737,1587,150,0.914,2.8,0.28,139.41,489,398,91,0.814,1.7,-3.91,505,472,33,0.935,0.62,13.69,690,665,25,0.964,0.47,-0.86,62,154,34.31,24.70
3,Michael Leighton,CAR,4,210.28333333333,92,80,12,0.870,3.42,-4.04,9.0,30,22,8,0.733,2.28,-2.66,16,13,3,0.813,0.86,-1.52,44,43,1,0.977,0.29,0.54,4,12,32.70,16.92
4,Henrik Lundqvist,NYR,57,3240.4333333333,1649,1501,148,0.910,2.74,-5.33,143.46,480,396,84,0.825,1.56,1.49,375,343,32,0.915,0.59,2.67,738,707,31,0.958,0.57,-5.18,79,172,34.42,24.60
5,Peter Budaj,"L.A, T.B",60,3308.2666666667,1414,1294,120,0.915,2.18,2.34,120.99,341,273,68,0.801,1.23,-7.27,385,354,31,0.919,0.56,4.59,631,610,21,0.967,0.38,1.08,77,139,35.24,22.43
6,Mike Smith,ARI,55,3202.1333333333,1819,1663,156,0.914,2.92,1.38,158.84,524,443,81,0.845,1.52,12.33,479,430,49,0.898,0.92,-4.72,767,742,25,0.967,0.47,1.84,64,211,32.83,21.77
7,Kari Lehtonen,DAL,59,3177.15,1547,1396,151,0.902,2.85,-17.15,142.18,450,366,84,0.813,1.59,-3.85,411,372,39,0.905,0.74,-1.0,645,617,28,0.957,0.53,-5.43,78,206,32.93,22.52
8,Curtis McElhinney,"CBJ, TOR",21,1134.65,616,565,51,0.917,2.7,2.3,50.75,138,119,19,0.862,1.0,5.58,162,145,17,0.895,0.9,-2.02,297,282,15,0.949,0.79,-4.61,28,66,35.29,26.96
9,Cam Ward,CAR,61,3617.9166666667,1711,1549,162,0.905,2.69,-13.96,146.42,438,352,86,0.804,1.43,-7.99,403,361,42,0.896,0.7,-4.74,818,784,34,0.958,0.56,-5.38,52,204,34.96,22.16
10,Marc-Andre Fleury,PIT,38,2125.25,1181,1074,107,0.909,3.02,-4.82,105.06,338,280,58,0.828,1.64,2.2,321,286,35,0.891,0.99,-5.32,480,466,14,0.971,0.4,2.8,50,140,33.15,20.82
11,Corey Crawford,CHI,55,3246.8666666667,1691,1553,138,0.918,2.55,8.3,145.28,473,396,77,0.837,1.42,7.25,422,390,32,0.924,0.59,7.01,751,722,29,0.961,0.54,-2.72,76,184,33.30,22.69
12,Jimmy Howard,DET,26,1396.7166666667,675,626,49,0.927,2.1,9.4,56.18,193,166,27,0.860,1.16,7.37,147,136,11,0.925,0.47,2.59,305,294,11,0.964,0.47,-0.33,42,65,35.56,23.41
13,Jaroslav Halak,NYI,28,1605.4833333333,885,810,75,0.915,2.8,1.57,78.5,246,202,44,0.821,1.64,-0.19,236,224,12,0.949,0.45,9.82,375,356,19,0.949,0.71,-5.88,43,80,34.10,22.17
14,Brian Elliott,CGY,49,2824.4166666667,1340,1219,121,0.910,2.57,-5.06,115.26,364,287,77,0.788,1.64,-12.17,343,314,29,0.915,0.62,2.71,598,584,14,0.977,0.3,6.93,73,130,34.64,22.34
15,Al Montoya,MTL,19,1124.8833333333,569,519,50,0.912,2.67,-0.77,45.26,148,124,24,0.838,1.28,2.36,141,125,16,0.887,0.85,-2.96,263,253,10,0.962,0.53,-0.8,23,51,34.82,24.00
16,Devan Dubnyk,MIN,65,3758.6,1842,1701,141,0.923,2.25,18.37,132.78,397,328,69,0.826,1.1,1.71,454,407,47,0.896,0.75,-5.03,935,910,25,0.973,0.4,7.72,67,158,37.50,22.43
17,Cory Schneider,N.J,60,3472.8333333333,1781,1618,163,0.908,2.82,-8.91,144.53,422,354,68,0.839,1.17,7.16,495,432,63,0.873,1.09,-17.24,816,785,31,0.962,0.54,-2.45,65,133,34.31,24.07
18,Justin Peters,ARI,3,132.91666666667,70,63,7,0.900,3.16,-0.94,6.13,15,12,3,0.800,1.35,-0.33,20,17,3,0.850,1.35,-1.15,32,31,1,0.969,0.45,0.12,3,11,35.26,28.71
19,Thomas Greiss,NYI,51,2813.2833333333,1453,1327,126,0.913,2.69,-0.29,130.2,431,367,64,0.852,1.36,12.76,395,357,38,0.904,0.81,-1.48,586,564,22,0.962,0.47,-1.49,86,135,33.70,24.21
20,Anton Khudobin,BOS,16,864.78333333333,406,367,39,0.904,2.71,-3.87,36.1,124,98,26,0.790,1.8,-3.91,96,85,11,0.885,0.76,-2.12,167,166,1,0.994,0.07,4.84,32,44,35.70,22.56
21,Pekka Rinne,NSH,61,3567.7833333333,1757,1613,144,0.918,2.42,8.02,134.71,375,293,82,0.781,1.38,-15.21,475,439,36,0.924,0.61,7.91,842,816,26,0.969,0.44,3.46,95,170,35.82,20.95
22,Carey Price,MTL,62,3708.1333333333,1794,1656,138,0.923,2.23,17.22,144.93,466,401,65,0.861,1.05,18.0,416,379,37,0.911,0.6,1.46,836,800,36,0.957,0.58,-6.75,105,169,36.08,24.36
23,Tuukka Rask,BOS,65,3659.5833333333,1612,1475,137,0.915,2.25,2.47,135.03,397,323,74,0.814,1.21,-3.29,413,375,38,0.908,0.62,0.18,727,703,24,0.967,0.39,1.44,95,159,37.30,24.20
24,Ondrej Pavelec,WPG,8,439.5,233,207,26,0.888,3.55,-5.84,19.98,67,54,13,0.806,1.77,-1.07,63,54,9,0.857,1.23,-3.18,92,88,4,0.957,0.55,-0.78,14,28,33.67,19.77
25,Jonathan Quick,L.A,17,930.95,421,386,35,0.917,2.26,1.42,43.22,120,96,24,0.800,1.55,-2.63,119,113,6,0.950,0.39,5.0,167,162,5,0.970,0.32,0.84,24,63,33.11,18.09
26,Ben Bishop,"L.A, T.B",39,2222.6166666667,1040,946,94,0.910,2.54,-4.02,89.04,287,242,45,0.843,1.21,6.12,295,263,32,0.892,0.86,-4.73,434,418,16,0.963,0.43,-0.81,55,102,34.88,25.35
27,Alex Stalock,MIN,2,118.91666666667,54,51,3,0.944,1.51,1.67,4.22,11,9,2,0.818,1.01,-0.04,10,10,0,1.000,0.0,0.92,33,32,1,0.970,0.5,0.15,2,4,37.50,21.67
28,Chad Johnson,CGY,36,2014.5666666667,969,882,87,0.910,2.59,-3.16,87.01,256,210,46,0.820,1.37,-0.4,268,242,26,0.903,0.77,-1.22,411,396,15,0.964,0.45,-0.62,46,98,34.27,21.85
29,Steve Mason,PHI,58,3224.6166666667,1556,1413,143,0.908,2.66,-8.38,130.02,343,270,73,0.787,1.36,-11.91,391,345,46,0.882,0.86,-9.85,751,727,24,0.968,0.45,2.28,80,185,36.87,23.59
