Simulation,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
3,8477451.0,Ryan Hartman,R,MIN,29,74,21,24,45
3,8478519.0,Anthony Cirelli,C,TBL,26,79,20,25,45
3,8477964.0,Ivan Barbashev,C,VGK,28,82,19,26,45
3,8478438.0,Tommy Novak,C,NSH,26,71,18,27,45
3,8482667.0,William Eklund,L,SJS,21,80,16,29,45
3,8477021.0,Alex Kerfoot,C,ARI,29,82,13,32,45
3,8475218.0,Mattias Ekholm,D,EDM,33,79,11,34,45
3,8480188.0,Fabian Zetterlund,L,SJS,24,82,24,20,44
3,8475169.0,Evander Kane,L,EDM,32,77,24,20,44
3,8477511.0,Anthony Mantha,R,WSH,29,74,23,21,44
3,8474586.0,Jordan Eberle,R,SEA,33,78,17,27,44
3,8477496.0,Elias Lindholm,C,VAN,29,75,15,29,44
3,8477948.0,Travis Sanheim,D,PHI,27,81,10,34,44
3,8477479.0,Tyler Bertuzzi,L,TOR,28,80,21,22,43
3,8478466.0,Daniel Sprong,R,DET,26,76,18,25,43
3,8470613.0,Brent Burns,D,CAR,38,82,10,33,43
3,8476438.0,Brandon Saad,L,STL,31,82,26,16,42
3,8477407.0,Anthony Duclair,L,SJS,28,73,24,18,42
3,8478474.0,Lawson Crouse,L,ARI,26,81,23,19,42
3,8480893.0,Kirill Marchenko,R,CBJ,23,78,23,19,42
3,8482745.0,Mason McTavish,C,ANA,20,64,19,23,42
3,8481542.0,Moritz Seider,D,DET,22,82,9,33,42
3,8477447.0,Shea Theodore,D,VGK,28,47,5,37,42
3,8477935.0,Sam Bennett,C,FLA,27,69,20,21,41
3,8477998.0,Warren Foegele,L,EDM,27,82,20,21,41
3,8480009.0,Eeli Tolvanen,R,SEA,24,81,16,25,41
3,8479345.0,Jakob Chychrun,D,OTT,25,82,14,27,41
3,8480028.0,Morgan Frost,C,PHI,24,71,13,28,41
3,8478462.0,Nicolas Roy,C,VGK,26,70,13,28,41
3,8476458.0,Ryan Strome,C,ANA,30,79,11,30,41
3,8480434.0,Sean Durzi,D,ARI,25,76,9,32,41
3,8482079.0,Marco Rossi,C,MIN,22,82,21,19,40
3,8478498.0,Jake DeBrusk,L,BOS,27,80,19,21,40
3,8479365.0,Trent Frederic,C,BOS,25,82,18,22,40
3,8479525.0,Ross Colton,C,COL,27,80,17,23,40
3,8479400.0,Pierre-Luc Dubois,C,LAK,25,82,16,24,40
3,8478233.0,Andrew Mangiapane,L,CGY,27,75,14,26,40
3,8475191.0,Reilly Smith,R,PIT,32,76,13,27,40
3,8479987.0,Morgan Geekie,C,BOS,25,76,17,22,39
3,8482146.0,Luke Evangelista,R,NSH,21,80,16,23,39
3,8474150.0,Mikael Backlund,C,CGY,34,82,15,24,39
3,8476872.0,Scott Laughton,C,PHI,29,82,13,26,39
3,8478542.0,Evan Rodrigues,C,FLA,30,80,12,27,39
3,8478055.0,Gustav Forsling,D,FLA,27,79,10,29,39
3,8478397.0,Rasmus Andersson,D,CGY,27,78,9,30,39
3,8475764.0,Cam Fowler,D,ANA,32,81,5,34,39
3,8476792.0,Torey Krug,D,STL,32,77,4,35,39
3,8482089.0,Jake Neighbours,L,STL,21,77,27,11,38
3,8482149.0,Cole Perfetti,C,WPG,21,71,19,19,38
3,8476881.0,Tomas Hertl,C,SJS,30,54,17,21,38
3,8474037.0,James van Riemsdyk,L,BOS,34,71,11,27,38
3,8482105.0,Jake Sanderson,D,OTT,21,79,10,28,38
3,8475314.0,Anders Lee,L,NYI,33,81,20,17,37
3,8473422.0,Nick Foligno,L,CHI,36,74,17,20,37
3,8482665.0,Matty Beniers,C,SEA,21,77,15,22,37
3,8476483.0,Rickard Rakell,R,PIT,30,70,15,22,37
3,8476474.0,Stefan Noesen,R,CAR,30,81,14,23,37
3,8476480.0,Vladislav Namestnikov,C,WPG,31,78,11,26,37
3,8476958.0,Jaccob Slavin,D,CAR,29,81,6,31,37
3,8481535.0,Nils Hoglander,L,VAN,23,80,24,12,36
3,8480014.0,Gabriel Vilardi,C,WPG,24,47,22,14,36
3,8473986.0,Alex Killorn,L,ANA,34,63,18,18,36
3,8478046.0,Danton Heinen,L,BOS,28,74,17,19,36
3,8478891.0,Mason Appleton,C,WPG,27,82,14,22,36
3,8476432.0,Boone Jenner,C,CBJ,30,58,22,13,35
3,8477450.0,Jason Dickinson,C,CHI,28,82,22,13,35
3,8476880.0,Tom Wilson,R,WSH,29,74,18,17,35
3,8482699.0,Dylan Guenther,R,ARI,20,45,18,17,35
3,8475287.0,Erik Haula,L,NJD,32,76,16,19,35
3,8476925.0,Colton Sissons,C,NSH,30,81,15,20,35
3,8482720.0,Matthew Knies,L,TOR,21,80,15,20,35
3,8482113.0,Anton Lundell,C,FLA,22,78,13,22,35
3,8476392.0,Adam Lowry,C,WPG,30,81,12,23,35
3,8478472.0,Mathieu Joseph,R,OTT,26,72,11,24,35
3,8475799.0,Nino Niederreiter,R,WPG,31,77,18,16,34
3,8477476.0,Artturi Lehkonen,L,COL,28,45,16,18,34
3,8481618.0,Alex Newhook,C,MTL,22,55,15,19,34
3,8482159.0,Tyson Foerster,R,PHI,21,77,20,13,33
3,8482110.0,Dawson Mercer,C,NJD,22,82,20,13,33
3,8481580.0,Connor McMichael,C,WSH,22,80,18,15,33
3,8482055.0,Drew O'Connor,L,PIT,25,79,16,17,33
3,8477429.0,Andrew Copp,C,DET,29,79,13,20,33
3,8479992.0,Michael Rasmussen,C,DET,24,75,13,20,33
3,8476826.0,Yanni Gourde,C,SEA,32,80,11,22,33
3,8476419.0,Jean-Gabriel Pageau,C,NYI,31,82,11,22,33
3,8477986.0,Brandon Montour,D,FLA,29,66,8,25,33
3,8482671.0,Owen Power,D,BUF,21,76,6,27,33
3,8478178.0,Darren Raddysh,D,TBL,27,82,6,27,33
3,8480145.0,Neal Pionk,D,WPG,28,82,5,28,33
3,8474565.0,Alex Pietrangelo,D,VGK,33,64,4,29,33
3,8478057.0,Dakota Joshua,C,VAN,27,63,18,14,32
3,8477952.0,Robby Fabbri,C,DET,27,68,18,14,32
3,8476921.0,Jordan Martinook,L,CAR,31,82,14,18,32
3,8475722.0,Jason Zucker,L,ARI,31,69,14,18,32
3,8482705.0,Cole Sillinger,C,CBJ,20,77,13,19,32
3,8477498.0,Darnell Nurse,D,EDM,28,81,10,22,32
3,8475171.0,Oliver Ekman-Larsson,D,FLA,32,80,9,23,32
3,8478500.0,Ivan Provorov,D,CBJ,26,82,5,27,32
3,8474151.0,Ryan McDonagh,D,NSH,34,74,3,29,32
3,8474870.0,Tyler Johnson,C,CHI,33,67,17,14,31
3,8475848.0,Brendan Gallagher,R,MTL,31,77,16,15,31
3,8474189.0,Lars Eller,C,PIT,34,82,15,16,31
3,8476292.0,Ondrej Palat,L,NJD,32,71,11,20,31
3,8481624.0,Ilya Mikheyev,R,VAN,29,78,11,20,31
3,8478458.0,Jack Roslovic,C,CBJ,26,59,9,22,31
3,8477495.0,Seth Jones,D,CHI,29,67,8,23,31
3,8476979.0,Erik Gustafsson,D,NYR,31,76,6,25,31
3,8476331.0,Dylan DeMelo,D,WPG,30,82,3,28,31
3,8480064.0,Josh Norris,C,OTT,24,50,16,14,30
3,8475768.0,Jaden Schwartz,C,SEA,31,62,13,17,30
3,8480802.0,Ryan McLeod,C,EDM,24,81,12,18,30
3,8477987.0,Ryan Donato,C,CHI,27,78,12,18,30
3,8475149.0,Marcus Johansson,L,MIN,33,78,11,19,30
3,8481546.0,Cam York,D,PHI,22,82,10,20,30
3,8477505.0,Alex Wennberg,C,SEA,29,79,10,20,30
3,8473533.0,Jordan Staal,C,CAR,35,80,10,20,30
3,8478469.0,Thomas Chabot,D,OTT,26,51,9,21,30
3,8480817.0,K'Andre Miller,D,NYR,23,80,8,22,30
3,8477969.0,Marcus Pettersson,D,PIT,27,82,4,26,30
3,8475753.0,Justin Faulk,D,STL,31,60,2,28,30
3,8479619.0,Michael Carcone,L,ARI,27,74,21,8,29
3,8482475.0,Yegor Chinakhov,R,CBJ,22,53,16,13,29
3,8480459.0,Pius Suter,C,VAN,27,67,14,15,29
3,8475763.0,Kevin Hayes,R,STL,31,79,13,16,29
3,8481524.0,Bowen  Byram,D,COL,22,73,11,18,29
3,8480336.0,Sean Walker,D,PHI,29,81,10,19,29
3,8481656.0,Aliaksei Protas,C,WSH,22,78,6,23,29
3,8474574.0,Tyler Myers,D,VAN,33,77,5,24,29
3,8482125.0,Alexander Holtz,R,NJD,21,82,16,12,28
3,8480813.0,Joe Veleno,C,DET,23,80,12,16,28
3,8480068.0,Ryan Poehling,C,PHI,24,77,11,17,28
3,8478413.0,Jordan Greenway,L,BUF,26,67,10,18,28
3,8478115.0,Pierre Engvall,L,NYI,27,74,10,18,28
3,8476923.0,Damon Severson,D,CBJ,29,67,9,19,28
3,8476931.0,Jake McCabe,D,TOR,30,73,8,20,28
3,8478133.0,Jake Evans,C,MTL,27,82,7,21,28
3,8476927.0,Teddy Blueger,C,VAN,29,68,6,22,28
3,8475181.0,Nick Leddy,D,STL,32,82,3,25,28
3,8478020.0,Michael Amadio,R,VGK,27,73,14,13,27
3,8481582.0,Nicholas Robertson,L,TOR,22,56,14,13,27
3,8480185.0,Eetu Luostarinen,C,FLA,25,82,12,15,27
3,8480829.0,Jesperi Kotkaniemi,C,CAR,23,79,12,15,27
3,8480113.0,Alex Iafallo,L,WPG,30,82,11,16,27
3,8480748.0,Kiefer Sherwood,L,NSH,28,68,10,17,27
3,8481596.0,Shane Pinto,C,OTT,23,41,9,18,27
3,8480835.0,Jack Drury,C,CAR,23,74,8,19,27
3,8476463.0,Jonas Brodin,D,MIN,30,62,7,20,27
3,8482092.0,Ridly Greig,C,OTT,21,72,13,13,26
3,8476918.0,Jimmy Vesey,L,NYR,30,80,13,13,26
3,8476892.0,Colton Parayko,D,STL,30,82,10,16,26
3,8479941.0,Justin Danforth,R,CBJ,30,71,10,16,26
3,8477425.0,Miles Wood,L,COL,28,74,9,17,26
3,8480855.0,Jack McBain,C,ARI,23,67,8,18,26
3,8474602.0,Justin Schultz,D,SEA,33,70,7,19,26
3,8475790.0,Erik Gudbranson,D,CBJ,31,78,6,20,26
3,8475200.0,Dmitry Orlov,D,CAR,32,82,6,20,26
3,8482655.0,J.J. Moser,D,ARI,23,80,5,21,26
3,8476902.0,Esa Lindell,D,DAL,29,82,5,21,26
3,8475188.0,Brayden McNabb,D,VGK,32,82,4,22,26
3,8476854.0,Hampus Lindholm,D,BOS,29,73,3,23,26
3,8474673.0,TJ Brodie,D,TOR,33,78,1,25,26
3,8476469.0,Joel Armia,R,MTL,30,66,17,8,25
3,8481601.0,Simon Holmstrom,R,NYI,22,75,15,10,25
3,8481186.0,Logan O'Connor,R,COL,27,57,13,12,25
3,8471698.0,T.J. Oshie,R,WSH,37,52,12,13,25
3,8479591.0,Michael Eyssimont,C,TBL,27,81,11,14,25
3,8476312.0,Josh Manson,D,COL,32,76,8,17,25
3,8478136.0,Jake Middleton,D,MIN,27,80,7,18,25
3,8481032.0,Paul Cotter,C,VGK,24,76,7,18,25
3,8477508.0,Curtis Lazar,C,NJD,28,71,7,18,25
3,8482245.0,Artem Zub,D,OTT,28,69,5,20,25
3,8478911.0,Matt Roy,D,LAK,28,81,5,20,25
3,8476879.0,Cody Ceci,D,EDM,30,79,5,20,25
3,8478507.0,John Marino,D,NJD,26,75,4,21,25
3,8478840.0,Will Borgen,D,SEA,27,82,3,22,25
3,8482259.0,Bobby McMann,C,TOR,27,56,15,9,24
3,8481604.0,Pavel Dorofeyev,L,VGK,23,47,13,11,24
3,8478043.0,Sam Lafferty,C,VAN,28,79,13,11,24
3,8479351.0,Sam Steel,C,DAL,25,77,9,15,24
3,8475193.0,Tomas Tatar,L,SEA,33,70,9,15,24
3,8475744.0,Evgeny Kuznetsov,C,WSH,31,63,8,16,24
3,8475233.0,David Savard,D,MTL,33,60,6,18,24
3,8476422.0,Mike Reilly,D,NYI,30,61,6,18,24
3,8474031.0,Kevin Shattenkirk,D,BOS,34,61,6,18,24
3,8473507.0,Jeff Petry,D,DET,36,73,3,21,24
3,8480246.0,Nick Perbix,D,TBL,25,77,2,22,24
3,8481606.0,Jordan Spence,D,LAK,22,71,2,22,24
3,8477947.0,Sonny Milano,L,WSH,27,49,15,8,23
3,8475793.0,Ryan Johansen,C,COL,31,63,13,10,23
3,8480821.0,Filip Zadina,R,SJS,24,72,13,10,23
3,8474149.0,Evgenii Dadonov,R,DAL,34,51,12,11,23
3,8475231.0,Casey Cizikas,C,NYI,32,70,10,13,23
3,8474884.0,Mike Hoffman,C,SJS,34,66,10,13,23
3,8482062.0,Cole Smith,L,NSH,28,80,9,14,23
3,8478882.0,Vladislav Gavrikov,D,LAK,28,77,6,17,23
3,8474157.0,Max Pacioretty,L,WSH,35,47,4,19,23
3,8480873.0,Rasmus Sandin,D,WSH,23,68,3,20,23
3,8480043.0,Timothy Liljegren,D,TOR,24,55,3,20,23
3,8475343.0,Nic Dowd,C,WSH,33,64,12,10,22
3,8470621.0,Corey Perry,R,EDM,38,54,12,10,22
3,8473449.0,Kyle Okposo,R,BUF,35,67,12,10,22
3,8477446.0,Michael McCarron,R,NSH,28,70,12,10,22
3,8481517.0,Brett Leason,R,ANA,24,68,11,11,22
3,8478970.0,Jalen Chatfield,D,CAR,27,72,8,14,22
3,8481014.0,Alexander Romanov,D,NYI,23,81,7,15,22
3,8482087.0,Kaiden Guhle,D,MTL,21,70,6,16,22
3,8477953.0,Kasperi Kapanen,R,STL,27,73,6,16,22
3,8476885.0,Jacob Trouba,D,NYR,29,69,3,19,22
3,8480281.0,Alexey Toropchenko,R,STL,24,82,14,7,21
3,8482157.0,Will Cuylle,L,NYR,21,81,13,8,21
3,8478013.0,Jake Walman,D,DET,27,63,12,9,21
3,8475714.0,Calle Jarnkrok,C,TOR,32,52,10,11,21
3,8475220.0,Marcus Foligno,L,MIN,32,55,9,12,21
3,8471218.0,Blake Wheeler,R,NYR,37,54,9,12,21
3,8479359.0,Beck Malenstyn,L,WSH,25,81,6,15,21
3,8476897.0,Oskar Sundqvist,C,STL,29,71,6,15,21
3,8481178.0,Egor Zamula,D,PHI,23,66,5,16,21
3,8480891.0,Michael Kesselring,D,ARI,23,65,5,16,21
3,8479983.0,Mario Ferraro,D,SJS,25,78,3,18,21
3,8475225.0,Craig Smith,C,DAL,34,75,11,9,20
3,8476981.0,Josh Anderson,R,MTL,29,78,9,11,20
3,8475455.0,Brenden Dillon,D,WPG,33,77,8,12,20
3,8481577.0,Philip Tomasino,C,NSH,22,41,7,13,20
3,8477507.0,Nikita Zadorov,D,VAN,28,75,6,14,20
3,8475279.0,Ben Chiarot,D,DET,32,77,5,15,20
3,8478851.0,Alexandre Carrier,D,NSH,27,73,4,16,20
3,8480035.0,Henri Jokiharju,D,BUF,24,74,3,17,20
3,8480073.0,Erik Brannstrom,D,OTT,24,76,3,17,20
3,8475179.0,Dmitry Kulikov,D,FLA,33,76,1,19,20
3,8481554.0,Kaapo Kakko,R,NYR,22,61,13,6,19
3,8480980.0,Connor Dewar,C,MIN,24,74,11,8,19
3,8479415.0,Michael McLeod,C,NJD,25,45,10,9,19
3,8482097.0,Jack Quinn,R,BUF,22,27,9,10,19
3,8480144.0,David Kampf,C,TOR,28,78,8,11,19
3,8479353.0,Brett Howden,C,VGK,25,72,8,11,19
3,8475164.0,Jakob Silfverberg,R,ANA,33,81,7,12,19
3,8476889.0,Radek Faksa,C,DAL,29,74,7,12,19
3,8473504.0,Cal Clutterbuck,R,NYI,36,82,7,12,19
3,8475855.0,Jesper Fast,R,CAR,32,73,6,13,19
3,8477380.0,Jonny Brodzinski,C,NYR,30,57,6,13,19
3,8471699.0,Andrew Cogliano,C,COL,36,75,6,13,19
3,8477506.0,Ryan Pulock,D,NYI,29,58,5,14,19
3,8480172.0,Jan Rutta,D,SJS,33,69,5,14,19
3,8482073.0,Braden Schneider,D,NYR,22,82,5,14,19
3,8478432.0,Christian Fischer,R,DET,26,79,5,14,19
3,8479410.0,Mikhail Sergachev,D,TBL,25,34,2,17,19
3,8475690.0,Chris Tanev,D,CGY,34,75,2,17,19
3,8480878.0,Nils Lundkvist,D,DAL,23,59,2,17,19
3,8479316.0,Luke Kunin,C,SJS,26,77,11,7,18
3,8480289.0,Morgan Barron,C,WPG,25,80,11,7,18
3,8476374.0,Sean Kuraly,C,CBJ,30,62,9,9,18
3,8480448.0,Parker Kelly,L,OTT,24,80,8,10,18
3,8478434.0,Keegan Kolesar,R,VGK,26,79,8,10,18
3,8475462.0,Radko Gudas,D,ANA,33,66,6,12,18
3,8480220.0,Noah Cates,L,PHI,24,59,6,12,18
3,8476457.0,Adam Larsson,D,SEA,31,81,4,14,18
3,8477932.0,Aaron Ekblad,D,FLA,27,51,4,14,18
3,8477365.0,Connor Clifton,D,BUF,28,79,4,14,18
3,8476874.0,Olli Maatta,D,DET,29,72,4,14,18
3,8479398.0,Samuel Girard,D,COL,25,59,3,15,18
3,8479998.0,Mikey Anderson,D,LAK,24,74,2,16,18
3,8480049.0,Dylan Samberg,D,WPG,24,78,1,17,18
3,8478508.0,Yakov Trenin,C,NSH,26,76,12,5,17
3,8477903.0,Garnet Hathaway,R,PHI,32,82,7,10,17
3,8480995.0,Pontus Holmberg,R,TOR,24,54,7,10,17
3,8479315.0,Joey Anderson,R,CHI,25,55,5,12,17
3,8478463.0,Anthony Beauvillier,L,CHI,26,60,5,12,17
3,8474166.0,Alec Martinez,D,VGK,36,55,4,13,17
3,8481522.0,Peyton Krebs,C,BUF,22,80,4,13,17
3,8478859.0,Niko Mikkola,D,FLA,27,82,3,14,17
3,8479324.0,Ryan Lindgren,D,NYR,25,76,3,14,17
3,8481605.0,Jackson LaCombe,D,ANA,22,71,2,15,17
3,8479976.0,Juuso Valimaki,D,ARI,25,68,2,15,17
3,8470600.0,Ryan Suter,D,DAL,38,82,2,15,17
3,8480884.0,Calen Addison,D,SJS,23,72,1,16,17
3,8475842.0,Sam Carrick,C,ANA,31,77,10,6,16
3,8479977.0,Kailer Yamamoto,R,SEA,25,59,8,8,16
3,8473453.0,Trevor Lewis,C,LAK,36,82,8,8,16
3,8480205.0,Emil Bemstrom,R,CBJ,24,56,8,8,16
3,8479293.0,Brandon Tanev,L,SEA,32,66,7,9,16
3,8477444.0,Andre Burakovsky,L,SEA,28,49,7,9,16
3,8475208.0,Brian Dumoulin,D,SEA,32,80,6,10,16
3,8482660.0,Kent Johnson,C,CBJ,21,42,6,10,16
3,8477979.0,Nicolas Aube-Kubel,R,WSH,27,60,6,10,16
3,8476462.0,Dougie Hamilton,D,NJD,30,20,5,11,16
3,8482117.0,Lukas Reichel,L,CHI,21,65,5,11,16
3,8474034.0,Pat Maroon,L,MIN,35,51,4,12,16
3,8480796.0,Martin Fehervary,D,WSH,24,66,3,13,16
3,8476967.0,Brett Kulak,D,EDM,29,82,3,13,16
3,8471677.0,Jack Johnson,D,COL,36,80,3,13,16
3,8481568.0,Alex Vlasic,D,CHI,22,76,2,14,16
3,8476917.0,Adam Pelech,D,NYI,29,58,1,15,16
3,8479423.0,Alex Nylander,L,PIT,25,28,11,4,15
3,8478831.0,Kevin Stenlund,C,FLA,27,81,11,4,15
3,8470604.0,Jeff Carter,C,PIT,38,72,11,4,15
3,8477330.0,Dominik Kubalik,L,OTT,28,74,11,4,15
3,8476873.0,Mark Jankowski,C,NSH,29,32,7,8,15
3,8476393.0,Nick Cousins,C,FLA,30,69,7,8,15
3,8481560.0,Arthur Kaliyev,R,LAK,22,51,7,8,15
3,8481481.0,Blake Lizotte,C,LAK,26,62,7,8,15
3,8478109.0,Victor Olofsson,L,BUF,28,51,7,8,15
3,8481533.0,Trevor Zegras,C,ANA,22,31,6,9,15
3,8478042.0,Viktor Arvidsson,R,LAK,30,18,6,9,15
3,8474090.0,Brendan Smith,D,NJD,34,63,5,10,15
3,8477919.0,Frederick Gaudreau,C,MIN,30,67,5,10,15
3,8479368.0,Max Jones,L,ANA,25,52,5,10,15
3,8477839.0,Conor Sheary,L,TBL,31,57,4,11,15
3,8476467.0,Jamie Oleksiak,D,SEA,31,82,2,13,15
3,8475197.0,Tyson Barrie,D,NSH,32,41,1,14,15
3,8476878.0,Zemgus Girgensons,L,BUF,29,63,8,6,14
3,8480011.0,Klim Kostin,C,DET,24,52,8,6,14
3,8479661.0,Tanner Jeannot,L,TBL,26,55,7,7,14
3,8478468.0,Jeremy Lauzon,D,NSH,26,79,6,8,14
3,8480003.0,Jesper Boqvist,C,BOS,25,47,6,8,14
3,8479390.0,Taylor Raddysh,R,CHI,25,73,5,9,14
3,8477070.0,Liam O'Brien,C,ARI,29,75,5,9,14
3,8478443.0,Brandon Carlo,D,BOS,27,76,4,10,14
3,8480879.0,Jacob Bernard-Docker,D,OTT,23,72,4,10,14
3,8477392.0,Hudson Fasching,R,NYI,28,45,4,10,14
3,8477435.0,Ryan Graves,D,PIT,28,70,3,11,14
3,8474567.0,Zach Bogosian,D,MIN,33,65,3,11,14
3,8480887.0,Jordan Harris,D,MTL,23,56,3,11,14
3,8480727.0,Zach Whitecloud,D,VGK,27,61,2,12,14
3,8477220.0,Nate Schmidt,D,WPG,32,63,2,12,14
3,8475324.0,Nick Jensen,D,WSH,33,78,1,13,14
3,8480001.0,Urho Vaakanainen,D,ANA,24,68,1,13,14
3,8477845.0,Trevor van Riemsdyk,D,WSH,32,70,0,14,14
3,8482111.0,Justin Barron,D,MTL,22,48,7,6,13
3,8479383.0,Boris Katchouk,L,CHI,25,59,7,6,13
3,8477573.0,Nathan Walker,L,STL,29,45,7,6,13
3,8480192.0,Johnathan Kovacevic,D,MTL,26,62,6,7,13
3,8479996.0,Cody Glass,C,NSH,24,41,6,7,13
3,8481477.0,Nico Sturm,C,SJS,28,63,5,8,13
3,8476871.0,Tanner Pearson,L,MTL,31,54,5,8,13
3,8479520.0,Brandon Duhaime,R,MIN,26,80,5,8,13
3,8479402.0,Jake Bean,D,CBJ,25,72,4,9,13
3,8482222.0,Alexander Barabanov,L,SJS,29,46,4,9,13
3,8477488.0,Brett Pesce,D,CAR,29,70,3,10,13
3,8479371.0,Dante Fabbro,D,NSH,25,56,3,10,13
3,8478416.0,Erik Cernak,D,TBL,26,69,2,11,13
3,8476372.0,Nick Seeler,D,PHI,30,71,1,12,13
3,8481704.0,Juuso Parssinen,C,NSH,22,44,8,4,12
3,8476278.0,Colin Blackwell,C,CHI,30,44,8,4,12
3,8479336.0,Carl Grundstrom,R,LAK,26,50,8,4,12
3,8471709.0,Marc-Edouard Vlasic,D,SJS,36,57,6,6,12
3,8479393.0,Noah Gregor,C,TOR,25,63,6,6,12
3,8478421.0,A.J. Greer,L,CGY,27,59,6,6,12
3,8479671.0,Mathieu Olivier,R,CBJ,26,54,5,7,12
3,8477846.0,Ryan Carpenter,C,SJS,32,62,5,7,12
3,8478585.0,Derek Ryan,C,EDM,37,70,5,7,12
3,8479414.0,Nathan Bastian,R,NJD,26,54,5,7,12
3,8477015.0,Connor Brown,R,EDM,29,71,4,8,12
3,8476624.0,Barclay Goodrow,C,NYR,30,80,4,8,12
3,8477406.0,Mattias Janmark,C,EDM,31,71,4,8,12
3,8476919.0,Chris Tierney,C,NJD,29,52,4,8,12
3,8479543.0,Michael Pezzetta,L,MTL,25,61,3,9,12
3,8475825.0,Jani Hakanpää,D,DAL,31,64,2,10,12
3,8479980.0,Nicolas Hague,D,VGK,25,73,2,10,12
3,8476822.0,Luke Glendening,C,TBL,34,81,10,1,11
3,8482133.0,Thomas Bordeleau,C,SJS,21,27,6,5,11
3,8480806.0,Isac Lundestrom,C,ANA,24,46,5,6,11
3,8480025.0,MacKenzie Entwistle,R,CHI,24,67,5,6,11
3,8475750.0,Jon Merrill,D,MIN,31,65,4,7,11
3,8481567.0,Henry Thrun,D,SJS,22,51,3,8,11
3,8477950.0,Tony DeAngelo,D,CAR,28,31,3,8,11
3,8474013.0,Ian Cole,D,VAN,34,78,2,9,11
3,8476891.0,Matt Grzelcyk,D,BOS,29,63,2,9,11
3,8480058.0,Pierre-Olivier Joseph,D,PIT,24,52,2,9,11
3,8480860.0,Kevin Bahl,D,NJD,23,82,1,10,11
3,8479576.0,Vincent Desharnais,D,EDM,27,78,1,10,11
3,8470610.0,Zach Parise,L,COL,39,30,5,5,10
3,8476858.0,Phillip Di Giuseppe,L,VAN,30,51,5,5,10
3,8474040.0,Sam Gagner,C,EDM,34,28,5,5,10
3,8480355.0,Mark Kastelic,C,OTT,24,63,5,5,10
3,8482142.0,Jamie Drysdale,D,PHI,21,34,3,7,10
3,8480849.0,Barrett Hayton,C,ARI,23,33,3,7,10
3,8475177.0,Calvin de Haan,D,TBL,32,59,3,7,10
3,8482964.0,Arber Xhekaj,D,MTL,22,44,3,7,10
3,8477384.0,Josh Brown,D,ARI,29,51,3,7,10
3,8480184.0,Gustav Lindström,D,ANA,25,46,3,7,10
3,8480762.0,Eric Robinson,L,BUF,28,47,3,7,10
3,8477018.0,Ben Hutton,D,VGK,30,41,2,8,10
3,8481093.0,Rafael Harvey-Pinard,L,MTL,24,45,2,8,10
3,8480880.0,Jakub Lauko,C,BOS,23,60,2,8,10
3,8480871.0,Adam Boqvist,D,CBJ,23,35,1,9,10
3,8479369.0,Andrew Peeke,D,CBJ,25,38,1,9,10
3,8479982.0,Conor Timmins,D,TOR,25,25,1,9,10
3,8483460.0,David Jiricek,D,CBJ,20,43,1,9,10
3,8477971.0,Andreas Englund,D,LAK,27,82,1,9,10
3,8471274.0,Alex Goligoski,D,MIN,38,36,0,10,10
3,8479439.0,Jacob MacDonald,D,SJS,30,34,7,2,9
3,8479339.0,Patrik Laine,L,CBJ,25,18,6,3,9
3,8477353.0,Tyler Motte,C,TBL,28,69,6,3,9
3,8482077.0,Dylan Holloway,L,EDM,22,38,6,3,9
3,8479718.0,Alex Barré-Boulet,C,TBL,26,36,6,3,9
3,8477989.0,Christian Dvorak,C,MTL,27,30,5,4,9
3,8479328.0,Julien Gauthier,R,NYI,26,27,5,4,9
3,8479968.0,Vinni Lettieri,C,MIN,28,46,5,4,9
3,8476525.0,Colin Miller,D,NJD,31,46,4,5,9
3,8470966.0,Mark Giordano,D,TOR,40,46,3,6,9
3,8482679.0,Matt Coronato,R,CGY,21,34,3,6,9
3,8480008.0,Adam Ruzicka,C,ARI,24,42,3,6,9
3,8481641.0,Joel Kiviranta,L,COL,27,56,3,6,9
3,8478028.0,Fredrik Olofsson,L,COL,27,57,3,6,9
3,8480222.0,Sebastian Aho,D,NYI,27,58,2,7,9
3,8481708.0,Zac Jones,D,NYR,23,31,2,7,9
3,8476960.0,Andreas Athanasiou,C,CHI,29,28,2,7,9
3,8480848.0,Ty Dellandrea,C,DAL,23,42,2,7,9
3,8478099.0,Kevin Labanc,R,SJS,28,46,2,7,9
3,8478399.0,Jonas Siegenthaler,D,NJD,26,57,1,8,9
3,8481527.0,Kaedan Korczak,D,VGK,22,26,1,8,9
3,8481537.0,Nikita Okhotiuk,D,SJS,23,52,1,8,9
3,8475797.0,Jarred Tinordi,D,CHI,31,52,0,9,9
3,8479372.0,Josh Mahura,D,FLA,25,30,0,9,9
3,8477478.0,William Carrier,L,VGK,29,39,6,2,8
3,8480252.0,Cole Guttman,C,CHI,24,27,4,4,8
3,8481058.0,Jesse Ylönen,R,MTL,24,59,4,4,8
3,8474709.0,Matt Martin,L,NYI,34,57,4,4,8
3,8477541.0,Dakota Mermis,D,MIN,29,47,3,5,8
3,8478211.0,Dryden Hunt,L,CGY,28,28,3,5,8
3,8476473.0,Connor Murphy,D,CHI,30,46,2,6,8
3,8477335.0,Kyle Burroughs,D,SJS,28,73,2,6,8
3,8474618.0,Marco Scandella,D,STL,33,65,2,6,8
