,GameID,DatetimeEST,Date,TimeEST,Home Team,Home Abbreviation,Visiting Team,Visiting Abbreviation,Home Score,Visiting Score,Home Win,Visitor Win,Overtime
43,2025020043,2025-10-13T14:00:00,2025-10-13,14:00:00,Toronto Maple Leafs,TOR,Detroit Red Wings,DET,2.0,3.0,False,True,False
44,2025020044,2025-10-13T19:00:00,2025-10-13,19:00:00,Philadelphia Flyers,PHI,Florida Panthers,FLA,5.0,2.0,True,False,False
45,2025020045,2025-10-13T19:00:00,2025-10-13,19:00:00,Columbus Blue Jackets,CBJ,New Jersey Devils,NJD,2.0,3.0,False,True,False
46,2025020046,2025-10-13T19:30:00,2025-10-13,19:30:00,Vancouver Canucks,VAN,St. Louis Blues,STL,2.0,5.0,False,True,False
47,2025020047,2025-10-13T20:00:00,2025-10-13,20:00:00,Minnesota Wild,MIN,Los Angeles Kings,LAK,4.0,3.0,True,False,True
48,2025020048,2025-10-13T20:30:00,2025-10-13,20:30:00,Chicago Blackhawks,CHI,Utah Mammoth,UTA,3.0,1.0,True,False,False
49,2025020049,2025-10-14T19:00:00,2025-10-14,19:00:00,Toronto Maple Leafs,TOR,Nashville Predators,NSH,3.471295548513855,3.316921668593951,0.5271270682273599,0.4728729317726401,0.155964729920591
50,2025020050,2025-10-14T19:00:00,2025-10-14,19:00:00,Montréal Canadiens,MTL,Seattle Kraken,SEA,3.699209907097763,3.1949647201519658,0.5870746845127686,0.41292531548723144,0.15233717591455745
51,2025020051,2025-10-14T19:00:00,2025-10-14,19:00:00,New York Rangers,NYR,Edmonton Oilers,EDM,3.0618788935802868,3.3416714871673614,0.44906916497828436,0.5509308350217156,0.16015697989939512
52,2025020052,2025-10-14T19:00:00,2025-10-14,19:00:00,Washington Capitals,WSH,Tampa Bay Lightning,TBL,2.9409158215222235,3.6567013547764584,0.37399923521866574,0.6260007647813343,0.15297785716173712
53,2025020053,2025-10-14T21:00:00,2025-10-14,21:00:00,Calgary Flames,CGY,Vegas Golden Knights,VGK,2.644597059862752,3.616472549463304,0.3260460498428522,0.6739539501571478,0.15202963511096898
54,2025020054,2025-10-14T21:30:00,2025-10-14,21:30:00,Dallas Stars,DAL,Minnesota Wild,MIN,3.4762184927403994,3.0470790499907365,0.5769291442819229,0.4230708557180771,0.15744421451668894
55,2025020055,2025-10-14T22:00:00,2025-10-14,22:00:00,San Jose Sharks,SJS,Carolina Hurricanes,CAR,2.6563656749266205,3.495936783395883,0.3468639409881225,0.6531360590118775,0.15604512739510978
56,2025020056,2025-10-14T22:30:00,2025-10-14,22:30:00,Anaheim Ducks,ANA,Pittsburgh Penguins,PIT,3.5243680182095805,4.107133301797242,0.40613588730092454,0.5938641126990756,0.14394545525457414
57,2025020057,2025-10-15T19:00:00,2025-10-15,19:00:00,Buffalo Sabres,BUF,Ottawa Senators,OTT,3.6124198404171373,3.930510484603897,0.44800653634004256,0.5519934636599575,0.146940545845232
58,2025020058,2025-10-15T19:00:00,2025-10-15,19:00:00,Detroit Red Wings,DET,Florida Panthers,FLA,3.1106407896813364,2.9495432272472506,0.5304070019751166,0.4695929980248834,0.16546058770341734
59,2025020059,2025-10-15T21:30:00,2025-10-15,21:30:00,St. Louis Blues,STL,Chicago Blackhawks,CHI,3.4983240370661783,2.19442660299899,0.7394753795324859,0.2605246204675141,0.14938441125081234
60,2025020060,2025-10-15T21:30:00,2025-10-15,21:30:00,Utah Mammoth,UTA,Calgary Flames,CGY,3.3619299946680012,2.645107163519223,0.6335523474612424,0.36644765253875755,0.16015928208362024
61,2025020061,2025-10-16T19:00:00,2025-10-16,19:00:00,Toronto Maple Leafs,TOR,New York Rangers,NYR,2.9779722139147777,3.299614864669266,0.4407730926104574,0.5592269073895426,0.16151980862789797
62,2025020062,2025-10-16T19:00:00,2025-10-16,19:00:00,Montréal Canadiens,MTL,Nashville Predators,NSH,3.5322149186162295,3.5206635103918886,0.5019813079763162,0.49801869202368376,0.15312813064071407
63,2025020063,2025-10-16T19:00:00,2025-10-16,19:00:00,Ottawa Senators,OTT,Seattle Kraken,SEA,3.6899615458233535,3.183959793651851,0.587537965621016,0.41246203437898404,0.15254609542537537
